Komponente;Zusatztext;Bezeichnung;Bezeichner
Meldergruppe 217;Kloster OG DKM Appartmet.;G/217;
Melder 217/1;Kloster1.OG Flur DKM;M/217/1;
Meldergruppe 218;Kloster OG Appartment ;G/218;
Melder 218/1;Kloster OG Appartments;M/218/1;
Meldergruppe 219;Kloster DKM Treppenhaus;G/219;
Melder 219/1;Kloster1.OG Flur DKM;M/219/1;
Meldergruppe 220;Kloster DKM Kapelle;G/220;
Melder 220/1;Kloster1.OG Flur DKM;M/220/1;
Meldergruppe 299;FCT-Koppler Aufugsmasch.;G/299;
Melder 299/1;FCT in Aufz.maschienenra.;M/299/1;
Melder 299/2;FCT in Aufz.maschienenra.;M/299/2;
Steuergruppen 200;Feuer v. 2OG J-Haus;S/200;
Steuergruppen 201;Sirenen Kloster;S/201;
Steuergruppen 202;Aufzug Feuer v.EG Kloster;S/202;
Steuergruppen 203;Aufzug Feuer v.OG Kloster;S/203;
Steuergruppen 204;Feuer von KG J-Haus;S/204;
Steuergruppen 205;Feuer von EG J-Haus;S/205;
Steuergruppen 206;Feuer von OG J-Haus;S/206;
Steuergruppen 207;Sirenen Johanneshaus KG;S/207;
Steuergruppen 208;Sirenen Johanneshaus DG;S/208;












