Komponente,Zusatztext,Bezeichnung,Bezeichner
Zentrale 1;Laurentiushaus;Z/1;
Meldergruppe 1270;;S/1270;Haus2.1270
Meldergruppe 1271;;S/1271;Haus2.1271
Meldergruppe 1272;;S/1272;Haus2.1272
Meldergruppe 1273;;S/1273;Haus2.1273
Meldergruppe 1274;;S/1274;Haus2.1274
Meldergruppe 1275;;S/1275;Haus2.1275
Meldergruppe 1276;;S/1276;Haus2.1276
Meldergruppe 1277;;S/1277;Haus2.1277
Meldergruppe 1278;;S/1278;Haus2.1278
Meldergruppe 1279;;S/1279;Haus2.1279
Meldergruppe 1280;;S/1280;Haus2.1280
Meldergruppe 1281;;S/1281;Haus2.1281
Meldergruppe 1282;;S/1282;Haus2.1282
Meldergruppe 1283;;S/1283;Haus2.1283
Meldergruppe 1284;;S/1284;Haus2.1284
Meldergruppe 1285;;S/1285;Haus2.1285
Meldergruppe 1286;;S/1286;Haus2.1286
Meldergruppe 1287;;S/1287;Haus2.1287
Meldergruppe 1288;;S/1288;Haus2.1288
Meldergruppe 1289;;S/1289;Haus2.1289
Meldergruppe 1290;;S/1290;Haus2.1290
Meldergruppe 1291;;S/1291;Haus2.1291
Meldergruppe 1292;;S/1292;Haus2.1292
Meldergruppe 1293;;S/1293;Haus2.1293
Meldergruppe 1294;;S/1294;Haus2.1294
Meldergruppe 1295;;S/1295;Haus2.1295
Meldergruppe 1296;;S/1296;Haus2.1296
Meldergruppe 1297;;S/1297;Haus2.1297
Meldergruppe 1298;;S/1298;Haus2.1298
Meldergruppe 1299;;S/1299;Haus2.1299
Meldergruppe 1300;;S/1300;Haus2.1300
Meldergruppe 1301;;S/1301;Haus2.1301
Meldergruppe 1302;;S/1302;Haus2.1302
Meldergruppe 1303;;S/1303;Haus2.1303
Meldergruppe 1304;;S/1304;Haus2.1304
Meldergruppe 1305;;S/1305;Haus2.1305
Meldergruppe 1306;;S/1306;Haus2.1306
Meldergruppe 1307;;S/1307;Haus2.1307
Meldergruppe 1308;;S/1308;Haus2.1308
Meldergruppe 1309;;S/1309;Haus2.1309
Meldergruppe 1310;;S/1310;Haus2.1310
Meldergruppe 1311;;S/1311;Haus2.1311
Meldergruppe 1312;;S/1312;Haus2.1312
Meldergruppe 1313;;S/1313;Haus2.1313
Meldergruppe 1314;;S/1314;Haus2.1314
Meldergruppe 1315;;S/1315;Haus2.1315
Meldergruppe 1316;;S/1316;Haus2.1316
Meldergruppe 1317;;S/1317;Haus2.1317
Meldergruppe 1318;;S/1318;Haus2.1318
Meldergruppe 1319;;S/1319;Haus2.1319
Meldergruppe 1320;;S/1320;Haus2.1320
Meldergruppe 1321;;S/1321;Haus2.1321
Meldergruppe 1322;;S/1322;Haus2.1322
Meldergruppe 1323;;S/1323;Haus2.1323
Meldergruppe 1324;;S/1324;Haus2.1324
Meldergruppe 1325;;S/1325;Haus2.1325
Meldergruppe 1326;;S/1326;Haus2.1326
Meldergruppe 1327;;S/1327;Haus2.1327
Meldergruppe 1328;;S/1328;Haus2.1328
Meldergruppe 1329;;S/1329;Haus2.1329
Meldergruppe 1330;;S/1330;Haus2.1330
Meldergruppe 1331;;S/1331;Haus2.1331
Meldergruppe 1332;;S/1332;Haus2.1332
Meldergruppe 1333;;S/1333;Haus2.1333
Meldergruppe 1334;;S/1334;Haus2.1334
Meldergruppe 1335;;S/1335;Haus2.1335
Meldergruppe 1336;;S/1336;Haus2.1336
Meldergruppe 1337;;S/1337;Haus2.1337
Meldergruppe 1338;;S/1338;Haus2.1338
Meldergruppe 1339;;S/1339;Haus2.1339
Meldergruppe 1340;;S/1340;Haus2.1340
Meldergruppe 1341;;S/1341;Haus2.1341
Meldergruppe 1342;;S/1342;Haus2.1342
Meldergruppe 1343;;S/1343;Haus2.1343
Meldergruppe 1344;;S/1344;Haus2.1344
Meldergruppe 1345;;S/1345;Haus2.1345
Meldergruppe 1346;;S/1346;Haus2.1346
Meldergruppe 1347;;S/1347;Haus2.1347
Meldergruppe 1348;;S/1348;Haus2.1348
Meldergruppe 1349;;S/1349;Haus2.1349
Meldergruppe 1350;;S/1350;Haus2.1350
Meldergruppe 1351;;S/1351;Haus2.1351
Meldergruppe 1352;;S/1352;Haus2.1352
Meldergruppe 1353;;S/1353;Haus2.1353
Meldergruppe 1354;;S/1354;Haus2.1354
Meldergruppe 1355;;S/1355;Haus2.1355
Meldergruppe 1356;;S/1356;Haus2.1356
Meldergruppe 1357;;S/1357;Haus2.1357
Meldergruppe 1358;;S/1358;Haus2.1358
Meldergruppe 1359;;S/1359;Haus2.1359
Meldergruppe 1360;;S/1360;Haus2.1360
Meldergruppe 1361;;S/1361;Haus2.1361
Meldergruppe 1362;;S/1362;Haus2.1362
Meldergruppe 1363;;S/1363;Haus2.1363
Meldergruppe 1364;;S/1364;Haus2.1364
Meldergruppe 1365;;S/1365;Haus2.1365
Meldergruppe 1366;;S/1366;Haus2.1366
Meldergruppe 1367;;S/1367;Haus2.1367
Meldergruppe 1368;;S/1368;Haus2.1368
Meldergruppe 1369;;S/1369;Haus2.1369
Meldergruppe 1370;;S/1370;Haus2.1370
Meldergruppe 1371;;S/1371;Haus2.1371
Meldergruppe 1372;;S/1372;Haus2.1372
Meldergruppe 1373;;S/1373;Haus2.1373
Meldergruppe 1374;;S/1374;Haus2.1374
Meldergruppe 1375;;S/1375;Haus2.1375
Meldergruppe 1376;;S/1376;Haus2.1376
Meldergruppe 1377;;S/1377;Haus2.1377
Meldergruppe 1378;;S/1378;Haus2.1378
Meldergruppe 1379;;S/1379;Haus2.1379
Meldergruppe 1380;;S/1380;Haus2.1380
Meldergruppe 1381;;S/1381;Haus2.1381
Meldergruppe 1382;;S/1382;Haus2.1382
Meldergruppe 1383;;S/1383;Haus2.1383
Meldergruppe 1384;;S/1384;Haus2.1384
Meldergruppe 1385;;S/1385;Haus2.1385
Meldergruppe 1386;;S/1386;Haus2.1386
Meldergruppe 1387;;S/1387;Haus2.1387
Meldergruppe 1388;;S/1388;Haus2.1388
Meldergruppe 1389;;S/1389;Haus2.1389
Meldergruppe 1390;;S/1390;Haus2.1390
Meldergruppe 1391;;S/1391;Haus2.1391
Meldergruppe 1392;;S/1392;Haus2.1392
Meldergruppe 1393;;S/1393;Haus2.1393
Meldergruppe 1394;;S/1394;Haus2.1394
Meldergruppe 1395;;S/1395;Haus2.1395
Meldergruppe 1396;;S/1396;Haus2.1396
Meldergruppe 1397;;S/1397;Haus2.1397
Meldergruppe 1398;;S/1398;Haus2.1398
Meldergruppe 1399;;S/1399;Haus2.1399
Meldergruppe 1400;;S/1400;Haus2.1400
Meldergruppe 1401;;S/1401;Haus2.1401
Meldergruppe 1402;;S/1402;Haus2.1402
Meldergruppe 1403;;S/1403;Haus2.1403
Meldergruppe 1404;;S/1404;Haus2.1404
Meldergruppe 1405;;S/1405;Haus2.1405
Meldergruppe 1406;;S/1406;Haus2.1406
Meldergruppe 1407;;S/1407;Haus2.1407
Meldergruppe 1408;;S/1408;Haus2.1408
Meldergruppe 1409;;S/1409;Haus2.1409
Meldergruppe 1410;;S/1410;Haus2.1410
Meldergruppe 1411;;S/1411;Haus2.1411
Meldergruppe 1412;;S/1412;Haus2.1412
Meldergruppe 1413;;S/1413;Haus2.1413
Meldergruppe 1414;;S/1414;Haus2.1414
Meldergruppe 1415;;S/1415;Haus2.1415
Meldergruppe 1416;;S/1416;Haus2.1416
Meldergruppe 1417;;S/1417;Haus2.1417
Meldergruppe 1418;;S/1418;Haus2.1418
Meldergruppe 1419;;S/1419;Haus2.1419
Meldergruppe 1420;;S/1420;Haus2.1420
Meldergruppe 1421;;S/1421;Haus2.1421
Meldergruppe 1422;;S/1422;Haus2.1422
Meldergruppe 1423;;S/1423;Haus2.1423
Meldergruppe 1424;;S/1424;Haus2.1424
Meldergruppe 1425;;S/1425;Haus2.1425
Meldergruppe 1426;;S/1426;Haus2.1426
Meldergruppe 1427;;S/1427;Haus2.1427
Meldergruppe 1428;;S/1428;Haus2.1428
Meldergruppe 1429;;S/1429;Haus2.1429
Meldergruppe 1430;;S/1430;Haus2.1430
Meldergruppe 1431;;S/1431;Haus2.1431
Meldergruppe 1432;;S/1432;Haus2.1432
Meldergruppe 1433;;S/1433;Haus2.1433
Meldergruppe 1434;;S/1434;Haus2.1434
Meldergruppe 1435;;S/1435;Haus2.1435
Meldergruppe 1436;;S/1436;Haus2.1436
Meldergruppe 1437;;S/1437;Haus2.1437
Meldergruppe 1438;;S/1438;Haus2.1438
Meldergruppe 1439;;S/1439;Haus2.1439
Meldergruppe 1440;;S/1440;Haus2.1440
Meldergruppe 1441;;S/1441;Haus2.1441
Meldergruppe 1442;;S/1442;Haus2.1442
Meldergruppe 1443;;S/1443;Haus2.1443
Meldergruppe 1444;;S/1444;Haus2.1444
Meldergruppe 1445;;S/1445;Haus2.1445
Meldergruppe 1446;;S/1446;Haus2.1446
Meldergruppe 1447;;S/1447;Haus2.1447
Meldergruppe 1448;;S/1448;Haus2.1448
Meldergruppe 1449;;S/1449;Haus2.1449
Meldergruppe 1450;;S/1450;Haus2.1450
Meldergruppe 1451;;S/1451;Haus2.1451
Meldergruppe 1452;;S/1452;Haus2.1452
Meldergruppe 1453;;S/1453;Haus2.1453
Meldergruppe 1454;;S/1454;Haus2.1454
Meldergruppe 1455;;S/1455;Haus2.1455
Meldergruppe 1456;;S/1456;Haus2.1456
Meldergruppe 1457;;S/1457;Haus2.1457
Meldergruppe 1458;;S/1458;Haus2.1458
Meldergruppe 1459;;S/1459;Haus2.1459
Meldergruppe 1460;;S/1460;Haus2.1460
Meldergruppe 1461;;S/1461;Haus2.1461
Meldergruppe 1462;;S/1462;Haus2.1462
Meldergruppe 1463;;S/1463;Haus2.1463
Meldergruppe 1464;;S/1464;Haus2.1464
Meldergruppe 1465;;S/1465;Haus2.1465
Meldergruppe 1466;;S/1466;Haus2.1466
Meldergruppe 1467;;S/1467;Haus2.1467
Meldergruppe 1468;;S/1468;Haus2.1468
Meldergruppe 1469;;S/1469;Haus2.1469
Meldergruppe 1470;;S/1470;Haus2.1470
Meldergruppe 1471;;S/1471;Haus2.1471
Meldergruppe 1472;;S/1472;Haus2.1472
Meldergruppe 1473;;S/1473;Haus2.1473
Meldergruppe 1474;;S/1474;Haus2.1474
Meldergruppe 1475;;S/1475;Haus2.1475
Meldergruppe 1476;;S/1476;Haus2.1476
Meldergruppe 1477;;S/1477;Haus2.1477
Meldergruppe 1478;;S/1478;Haus2.1478
Meldergruppe 1479;;S/1479;Haus2.1479
Meldergruppe 1480;;S/1480;Haus2.1480
Meldergruppe 1481;;S/1481;Haus2.1481
Meldergruppe 1482;;S/1482;Haus2.1482
Meldergruppe 1483;;S/1483;Haus2.1483
Meldergruppe 1484;;S/1484;Haus2.1484
Meldergruppe 1485;;S/1485;Haus2.1485
Meldergruppe 1486;;S/1486;Haus2.1486
Meldergruppe 1487;;S/1487;Haus2.1487
Meldergruppe 1488;;S/1488;Haus2.1488
Meldergruppe 1489;;S/1489;Haus2.1489
Meldergruppe 1490;;S/1490;Haus2.1490
Meldergruppe 1491;;S/1491;Haus2.1491
Meldergruppe 1492;;S/1492;Haus2.1492
Meldergruppe 1493;;S/1493;Haus2.1493
Meldergruppe 1494;;S/1494;Haus2.1494
Meldergruppe 1495;;S/1495;Haus2.1495
Meldergruppe 1496;;S/1496;Haus2.1496
Meldergruppe 1497;;S/1497;Haus2.1497
Meldergruppe 1498;;S/1498;Haus2.1498
Meldergruppe 1499;;S/1499;Haus2.1499
Meldergruppe 1500;;S/1500;Haus2.1500
Meldergruppe 1501;;S/1501;Haus2.1501
Meldergruppe 1502;;S/1502;Haus2.1502
Meldergruppe 1503;;S/1503;Haus2.1503
Meldergruppe 1504;;S/1504;Haus2.1504
Meldergruppe 1505;;S/1505;Haus2.1505
Meldergruppe 1506;;S/1506;Haus2.1506
Meldergruppe 1507;;S/1507;Haus2.1507
Meldergruppe 1508;;S/1508;Haus2.1508
Meldergruppe 1509;;S/1509;Haus2.1509
Meldergruppe 1510;;S/1510;Haus2.1510
Meldergruppe 1511;;S/1511;Haus2.1511
Meldergruppe 1512;;S/1512;Haus2.1512
Meldergruppe 1513;;S/1513;Haus2.1513
Meldergruppe 1514;;S/1514;Haus2.1514
Meldergruppe 1515;;S/1515;Haus2.1515
Meldergruppe 1516;;S/1516;Haus2.1516
Meldergruppe 1517;;S/1517;Haus2.1517
Meldergruppe 1518;;S/1518;Haus2.1518
Meldergruppe 1519;;S/1519;Haus2.1519
Meldergruppe 1520;;S/1520;Haus2.1520
Meldergruppe 1521;;S/1521;Haus2.1521
Meldergruppe 1522;;S/1522;Haus2.1522
Meldergruppe 1523;;S/1523;Haus2.1523
Meldergruppe 1524;;S/1524;Haus2.1524
Meldergruppe 1525;;S/1525;Haus2.1525
Meldergruppe 1526;;S/1526;Haus2.1526
Meldergruppe 1527;;S/1527;Haus2.1527
Meldergruppe 1528;;S/1528;Haus2.1528
Meldergruppe 1529;;S/1529;Haus2.1529
Meldergruppe 1530;;S/1530;Haus2.1530
Meldergruppe 1531;;S/1531;Haus2.1531
Meldergruppe 1532;;S/1532;Haus2.1532
Meldergruppe 1533;;S/1533;Haus2.1533
Meldergruppe 1534;;S/1534;Haus2.1534
Meldergruppe 1535;;S/1535;Haus2.1535
Meldergruppe 1536;;S/1536;Haus2.1536
Meldergruppe 1537;;S/1537;Haus2.1537
Meldergruppe 1538;;S/1538;Haus2.1538
Meldergruppe 1539;;S/1539;Haus2.1539
Meldergruppe 1540;;S/1540;Haus2.1540
Meldergruppe 1541;;S/1541;Haus2.1541
Meldergruppe 1542;;S/1542;Haus2.1542
Meldergruppe 1543;;S/1543;Haus2.1543
Meldergruppe 1544;;S/1544;Haus2.1544
Meldergruppe 1545;;S/1545;Haus2.1545
Meldergruppe 1546;;S/1546;Haus2.1546
Meldergruppe 1547;;S/1547;Haus2.1547
Meldergruppe 1548;;S/1548;Haus2.1548
Meldergruppe 1549;;S/1549;Haus2.1549
Meldergruppe 1550;;S/1550;Haus2.1550
Meldergruppe 1551;;S/1551;Haus2.1551
Meldergruppe 1552;;S/1552;Haus2.1552
Meldergruppe 1553;;S/1553;Haus2.1553
Meldergruppe 1554;;S/1554;Haus2.1554
Meldergruppe 1555;;S/1555;Haus2.1555
Meldergruppe 1556;;S/1556;Haus2.1556
Meldergruppe 1557;;S/1557;Haus2.1557
Meldergruppe 1558;;S/1558;Haus2.1558
Meldergruppe 1559;;S/1559;Haus2.1559
Meldergruppe 1560;;S/1560;Haus2.1560
Meldergruppe 1561;;S/1561;Haus2.1561
Meldergruppe 1562;;S/1562;Haus2.1562
Meldergruppe 1563;;S/1563;Haus2.1563
Meldergruppe 1564;;S/1564;Haus2.1564
Meldergruppe 1565;;S/1565;Haus2.1565
Meldergruppe 1566;;S/1566;Haus2.1566
Meldergruppe 1567;;S/1567;Haus2.1567
Meldergruppe 1568;;S/1568;Haus2.1568
Meldergruppe 1569;;S/1569;Haus2.1569
Meldergruppe 1570;;S/1570;Haus2.1570
Meldergruppe 1571;;S/1571;Haus2.1571
Meldergruppe 1572;;S/1572;Haus2.1572
Meldergruppe 1573;;S/1573;Haus2.1573
Meldergruppe 1574;;S/1574;Haus2.1574
Meldergruppe 1575;;S/1575;Haus2.1575
Meldergruppe 1576;;S/1576;Haus2.1576
Meldergruppe 1577;;S/1577;Haus2.1577
Meldergruppe 1578;;S/1578;Haus2.1578
Meldergruppe 1579;;S/1579;Haus2.1579
Meldergruppe 1580;;S/1580;Haus2.1580
Meldergruppe 1581;;S/1581;Haus2.1581
Meldergruppe 1582;;S/1582;Haus2.1582
Meldergruppe 1583;;S/1583;Haus2.1583
Meldergruppe 1584;;S/1584;Haus2.1584
Meldergruppe 1585;;S/1585;Haus2.1585
Meldergruppe 1586;;S/1586;Haus2.1586
Meldergruppe 1587;;S/1587;Haus2.1587
Meldergruppe 1588;;S/1588;Haus2.1588
Meldergruppe 1589;;S/1589;Haus2.1589
Meldergruppe 1590;;S/1590;Haus2.1590
Meldergruppe 1591;;S/1591;Haus2.1591
Meldergruppe 1592;;S/1592;Haus2.1592
Meldergruppe 1593;;S/1593;Haus2.1593
Meldergruppe 1594;;S/1594;Haus2.1594
Meldergruppe 1595;;S/1595;Haus2.1595
Meldergruppe 1596;;S/1596;Haus2.1596
Meldergruppe 1597;;S/1597;Haus2.1597
Meldergruppe 1598;;S/1598;Haus2.1598
Meldergruppe 1599;;S/1599;Haus2.1599
Meldergruppe 1600;;S/1600;Haus2.1600
Meldergruppe 1601;;S/1601;Haus2.1601
Meldergruppe 1602;;S/1602;Haus2.1602
Meldergruppe 1603;;S/1603;Haus2.1603
Meldergruppe 1604;;S/1604;Haus2.1604
Meldergruppe 1605;;S/1605;Haus2.1605
Meldergruppe 1606;;S/1606;Haus2.1606
Meldergruppe 1607;;S/1607;Haus2.1607
Meldergruppe 1608;;S/1608;Haus2.1608
Meldergruppe 1609;;S/1609;Haus2.1609
Meldergruppe 1610;;S/1610;Haus2.1610
Meldergruppe 1611;;S/1611;Haus2.1611
Meldergruppe 1612;;S/1612;Haus2.1612
Meldergruppe 1613;;S/1613;Haus2.1613
Meldergruppe 1614;;S/1614;Haus2.1614
Meldergruppe 1615;;S/1615;Haus2.1615
Meldergruppe 1616;;S/1616;Haus2.1616
Meldergruppe 1617;;S/1617;Haus2.1617
Meldergruppe 1618;;S/1618;Haus2.1618
Meldergruppe 1619;;S/1619;Haus2.1619
Meldergruppe 1620;;S/1620;Haus2.1620
Meldergruppe 1621;;S/1621;Haus2.1621
Meldergruppe 1622;;S/1622;Haus2.1622
Meldergruppe 1623;;S/1623;Haus2.1623
Meldergruppe 1624;;S/1624;Haus2.1624
Meldergruppe 1625;;S/1625;Haus2.1625
Meldergruppe 1626;;S/1626;Haus2.1626
Meldergruppe 1627;;S/1627;Haus2.1627
Meldergruppe 1628;;S/1628;Haus2.1628
Meldergruppe 1629;;S/1629;Haus2.1629
Meldergruppe 1630;;S/1630;Haus2.1630
Meldergruppe 1631;;S/1631;Haus2.1631
Meldergruppe 1632;;S/1632;Haus2.1632
Meldergruppe 1633;;S/1633;Haus2.1633
Meldergruppe 1634;;S/1634;Haus2.1634
Meldergruppe 1635;;S/1635;Haus2.1635
Meldergruppe 1636;;S/1636;Haus2.1636
Meldergruppe 1637;;S/1637;Haus2.1637
Meldergruppe 1638;;S/1638;Haus2.1638
Meldergruppe 1639;;S/1639;Haus2.1639
Meldergruppe 1640;;S/1640;Haus2.1640
Meldergruppe 1641;;S/1641;Haus2.1641
Meldergruppe 1642;;S/1642;Haus2.1642
Meldergruppe 1643;;S/1643;Haus2.1643
Meldergruppe 1644;;S/1644;Haus2.1644
Meldergruppe 1645;;S/1645;Haus2.1645
Meldergruppe 1646;;S/1646;Haus2.1646
Meldergruppe 1647;;S/1647;Haus2.1647
Meldergruppe 1648;;S/1648;Haus2.1648
Meldergruppe 1649;;S/1649;Haus2.1649
Meldergruppe 1650;;S/1650;Haus2.1650
Meldergruppe 1651;;S/1651;Haus2.1651
Meldergruppe 1652;;S/1652;Haus2.1652
Meldergruppe 1653;;S/1653;Haus2.1653
Meldergruppe 1654;;S/1654;Haus2.1654
Meldergruppe 1655;;S/1655;Haus2.1655
Meldergruppe 1656;;S/1656;Haus2.1656
Meldergruppe 1657;;S/1657;Haus2.1657
Meldergruppe 1658;;S/1658;Haus2.1658
Meldergruppe 1659;;S/1659;Haus2.1659
Meldergruppe 1660;;S/1660;Haus2.1660
Meldergruppe 1661;;S/1661;Haus2.1661
Meldergruppe 1662;;S/1662;Haus2.1662
Meldergruppe 1663;;S/1663;Haus2.1663
Meldergruppe 1664;;S/1664;Haus2.1664
Meldergruppe 1665;;S/1665;Haus2.1665
Meldergruppe 1666;;S/1666;Haus2.1666
Meldergruppe 1667;;S/1667;Haus2.1667
Meldergruppe 1668;;S/1668;Haus2.1668
Meldergruppe 1669;;S/1669;Haus2.1669
Meldergruppe 1670;;S/1670;Haus2.1670
Meldergruppe 1671;;S/1671;Haus2.1671
Meldergruppe 1672;;S/1672;Haus2.1672
Meldergruppe 1673;;S/1673;Haus2.1673
Meldergruppe 1674;;S/1674;Haus2.1674
Meldergruppe 1675;;S/1675;Haus2.1675
Meldergruppe 1676;;S/1676;Haus2.1676
Meldergruppe 1677;;S/1677;Haus2.1677
Meldergruppe 1678;;S/1678;Haus2.1678
Meldergruppe 1679;;S/1679;Haus2.1679
Meldergruppe 1680;;S/1680;Haus2.1680
Meldergruppe 1681;;S/1681;Haus2.1681
Meldergruppe 1682;;S/1682;Haus2.1682
Meldergruppe 1683;;S/1683;Haus2.1683
Meldergruppe 1684;;S/1684;Haus2.1684
Meldergruppe 1685;;S/1685;Haus2.1685
Meldergruppe 1686;;S/1686;Haus2.1686
Meldergruppe 1687;;S/1687;Haus2.1687
Meldergruppe 1688;;S/1688;Haus2.1688
Meldergruppe 1689;;S/1689;Haus2.1689
Meldergruppe 1690;;S/1690;Haus2.1690
Meldergruppe 1691;;S/1691;Haus2.1691
Meldergruppe 1692;;S/1692;Haus2.1692
Meldergruppe 1693;;S/1693;Haus2.1693
Meldergruppe 1694;;S/1694;Haus2.1694
Meldergruppe 1695;;S/1695;Haus2.1695
Meldergruppe 1696;;S/1696;Haus2.1696
Meldergruppe 1697;;S/1697;Haus2.1697
Meldergruppe 1698;;S/1698;Haus2.1698
Meldergruppe 1699;;S/1699;Haus2.1699
Meldergruppe 1700;;S/1700;Haus2.1700
Meldergruppe 1701;;S/1701;Haus2.1701
Meldergruppe 1702;;S/1702;Haus2.1702
Meldergruppe 1703;;S/1703;Haus2.1703
Meldergruppe 1704;;S/1704;Haus2.1704
Meldergruppe 1705;;S/1705;Haus2.1705
Meldergruppe 1706;;S/1706;Haus2.1706
Meldergruppe 1707;;S/1707;Haus2.1707
Meldergruppe 1708;;S/1708;Haus2.1708
Meldergruppe 1709;;S/1709;Haus2.1709
Meldergruppe 1710;;S/1710;Haus2.1710
Meldergruppe 1711;;S/1711;Haus2.1711
Meldergruppe 1712;;S/1712;Haus2.1712
Meldergruppe 1713;;S/1713;Haus2.1713
Meldergruppe 1714;;S/1714;Haus2.1714
Meldergruppe 1715;;S/1715;Haus2.1715
Meldergruppe 1716;;S/1716;Haus2.1716
Meldergruppe 1717;;S/1717;Haus2.1717
Meldergruppe 1718;;S/1718;Haus2.1718
Meldergruppe 1719;;S/1719;Haus2.1719
Meldergruppe 1720;;S/1720;Haus2.1720
Meldergruppe 1721;;S/1721;Haus2.1721
Meldergruppe 1722;;S/1722;Haus2.1722
Meldergruppe 1723;;S/1723;Haus2.1723
Meldergruppe 1724;;S/1724;Haus2.1724
Meldergruppe 1725;;S/1725;Haus2.1725
Meldergruppe 1726;;S/1726;Haus2.1726
Meldergruppe 1727;;S/1727;Haus2.1727
Meldergruppe 1728;;S/1728;Haus2.1728
Meldergruppe 1729;;S/1729;Haus2.1729
Meldergruppe 1730;;S/1730;Haus2.1730
Meldergruppe 1731;;S/1731;Haus2.1731
Meldergruppe 1732;;S/1732;Haus2.1732
Meldergruppe 1733;;S/1733;Haus2.1733
Meldergruppe 1734;;S/1734;Haus2.1734
Meldergruppe 1735;;S/1735;Haus2.1735
Meldergruppe 1736;;S/1736;Haus2.1736
Meldergruppe 1737;;S/1737;Haus2.1737
Meldergruppe 1738;;S/1738;Haus2.1738
Meldergruppe 1739;;S/1739;Haus2.1739
Meldergruppe 1740;;S/1740;Haus2.1740
Meldergruppe 1741;;S/1741;Haus2.1741
Meldergruppe 1742;;S/1742;Haus2.1742
Meldergruppe 1743;;S/1743;Haus2.1743
Meldergruppe 1744;;S/1744;Haus2.1744
Meldergruppe 1745;;S/1745;Haus2.1745
Meldergruppe 1746;;S/1746;Haus2.1746
Meldergruppe 1747;;S/1747;Haus2.1747
Meldergruppe 1748;;S/1748;Haus2.1748
Meldergruppe 1749;;S/1749;Haus2.1749
Meldergruppe 1750;;S/1750;Haus2.1750
Meldergruppe 1751;;S/1751;Haus2.1751
Meldergruppe 1752;;S/1752;Haus2.1752
Meldergruppe 1753;;S/1753;Haus2.1753
Meldergruppe 1754;;S/1754;Haus2.1754
Meldergruppe 1755;;S/1755;Haus2.1755
Meldergruppe 1756;;S/1756;Haus2.1756
Meldergruppe 1757;;S/1757;Haus2.1757
Meldergruppe 1758;;S/1758;Haus2.1758
Meldergruppe 1759;;S/1759;Haus2.1759
Meldergruppe 1760;;S/1760;Haus2.1760
Meldergruppe 1761;;S/1761;Haus2.1761
Meldergruppe 1762;;S/1762;Haus2.1762
Meldergruppe 1763;;S/1763;Haus2.1763
Meldergruppe 1764;;S/1764;Haus2.1764
Meldergruppe 1765;;S/1765;Haus2.1765
Meldergruppe 1766;;S/1766;Haus2.1766
Meldergruppe 1767;;S/1767;Haus2.1767
Meldergruppe 1768;;S/1768;Haus2.1768
Meldergruppe 1769;;S/1769;Haus2.1769
Meldergruppe 1770;;S/1770;Haus2.1770
Meldergruppe 1771;;S/1771;Haus2.1771
Meldergruppe 1772;;S/1772;Haus2.1772
Meldergruppe 1773;;S/1773;Haus2.1773
Meldergruppe 1774;;S/1774;Haus2.1774
Meldergruppe 1775;;S/1775;Haus2.1775
Meldergruppe 1776;;S/1776;Haus2.1776
Meldergruppe 1777;;S/1777;Haus2.1777
Meldergruppe 1778;;S/1778;Haus2.1778
Meldergruppe 1779;;S/1779;Haus2.1779
Meldergruppe 1780;;S/1780;Haus2.1780
Meldergruppe 1781;;S/1781;Haus2.1781
Meldergruppe 1782;;S/1782;Haus2.1782
Meldergruppe 1783;;S/1783;Haus2.1783
Meldergruppe 1784;;S/1784;Haus2.1784
Meldergruppe 1785;;S/1785;Haus2.1785
Meldergruppe 1786;;S/1786;Haus2.1786
Meldergruppe 1787;;S/1787;Haus2.1787
Meldergruppe 1788;;S/1788;Haus2.1788
Meldergruppe 1789;;S/1789;Haus2.1789
Meldergruppe 1790;;S/1790;Haus2.1790
Meldergruppe 1791;;S/1791;Haus2.1791
Meldergruppe 1792;;S/1792;Haus2.1792
Meldergruppe 1793;;S/1793;Haus2.1793
Meldergruppe 1794;;S/1794;Haus2.1794
Meldergruppe 1795;;S/1795;Haus2.1795
Meldergruppe 1796;;S/1796;Haus2.1796
Meldergruppe 1797;;S/1797;Haus2.1797
Meldergruppe 1798;;S/1798;Haus2.1798
Meldergruppe 1799;;S/1799;Haus2.1799
Meldergruppe 1800;;S/1800;Haus2.1800
Meldergruppe 1801;;S/1801;Haus2.1801
Meldergruppe 1802;;S/1802;Haus2.1802
Meldergruppe 1803;;S/1803;Haus2.1803
Meldergruppe 1804;;S/1804;Haus2.1804
Meldergruppe 1805;;S/1805;Haus2.1805
Meldergruppe 1806;;S/1806;Haus2.1806
Meldergruppe 1807;;S/1807;Haus2.1807
Meldergruppe 1808;;S/1808;Haus2.1808
Meldergruppe 1809;;S/1809;Haus2.1809
Meldergruppe 1810;;S/1810;Haus2.1810
Meldergruppe 1811;;S/1811;Haus2.1811
Meldergruppe 1812;;S/1812;Haus2.1812
Meldergruppe 1813;;S/1813;Haus2.1813
Meldergruppe 1814;;S/1814;Haus2.1814
Meldergruppe 1815;;S/1815;Haus2.1815
Meldergruppe 1816;;S/1816;Haus2.1816
Meldergruppe 1817;;S/1817;Haus2.1817
Meldergruppe 1818;;S/1818;Haus2.1818
Meldergruppe 1819;;S/1819;Haus2.1819
Meldergruppe 1820;;S/1820;Haus2.1820
Meldergruppe 1821;;S/1821;Haus2.1821
Meldergruppe 1822;;S/1822;Haus2.1822
Meldergruppe 1823;;S/1823;Haus2.1823
Meldergruppe 1824;;S/1824;Haus2.1824
Meldergruppe 1825;;S/1825;Haus2.1825
Meldergruppe 1826;;S/1826;Haus2.1826
Meldergruppe 1827;;S/1827;Haus2.1827
